716385109 119490461 72963792566  66807 122119251 parentesis_s: 18446744073590061155 
962948499 215896827 18446744055729155956  65264 220646557 parentesis_s: 18446744073493654789 
784309196 143223655 70496411025  66427 146374575 parentesis_s: 18446744073566327961 
928025309 200520962 56555974352  65510 204932423 parentesis_s: 18446744073509030654 
990960826 228640474 8422583239  65060 233670564 parentesis_s: 18446744073480911142 
1058431295 260834769 11829817619  64545 266573133 parentesis_s: 18446744073448716847 
832956291 161541668 75781638832  66134 165095584 parentesis_s: 18446744073548009948 
860066218 172228063 42372843373  65963 176017080 parentesis_s: 18446744073537323553 
1014905664 239823364 69855281694  64881 245099477 parentesis_s: 18446744073469728252 
788491858 144755330 58949374116  66402 147939947 parentesis_s: 18446744073564796286 
1023525736 243914530 38954257167  64816 249280649 parentesis_s: 18446744073465637086 
1009265063 237165011 93813086866  64924 242382641 parentesis_s: 18446744073472386605 
1009795529 237414382 26532845048  64920 242637498 parentesis_s: 18446744073472137234 
937538275 204653017 63369276880  65444 209155383 parentesis_s: 18446744073504898599 
1003847896 234625907 80620183689  64965 239787676 parentesis_s: 18446744073474925709 
1050668313 257022656 42450833253  64606 262677154 parentesis_s: 18446744073452528960 
784070186 143136376 41982253159  66428 146285376 parentesis_s: 18446744073566415240 
802572213 149971376 62256029572  66319 153270746 parentesis_s: 18446744073559580240 
918862664 196580913 91229574379  65573 200905693 parentesis_s: 18446744073512970703 
906573970 191358002 61088948447  65657 195567878 parentesis_s: 18446744073518193614 
759423326 134278970 79617306566  66570 137233107 parentesis_s: 18446744073575272646 
822394097 157470826 47835539069  66199 160935184 parentesis_s: 18446744073552080790 
1052228855 257786727 15376229223  64594 263458034 parentesis_s: 18446744073451764889 
880679147 180582460 43423457228  65829 184555274 parentesis_s: 18446744073528969156 
883395198 181698025 39225566257  65811 185695381 parentesis_s: 18446744073527853591 
813276114 153998387 59613357184  66255 157386351 parentesis_s: 18446744073555553229 
1012264565 238576799 67705945338  64901 243825488 parentesis_s: 18446744073470974817 
1011023571 237992187 15902205440  64911 243228015 parentesis_s: 18446744073471559429 
800304984 149125248 65165566899  66333 152406003 parentesis_s: 18446744073560426368 
749249564 130705281 75473288510  66627 133580797 parentesis_s: 18446744073578846335 
986373958 226528752 40171509847  65094 231512384 parentesis_s: 18446744073483022864 
720247359 120782353 111398405815  66786 123439564 parentesis_s: 18446744073588769263 
845535010 166457484 67666587401  66055 170119548 parentesis_s: 18446744073543094132 
951410077 210753906 47871482513  65346 215390491 parentesis_s: 18446744073498797710 
1012823349 238840267 35540753283  64897 244094752 parentesis_s: 18446744073470711349 
899159187 188240605 61621409255  65707 192381898 parentesis_s: 18446744073521311011 
960900585 214979502 84656966860  65279 219709051 parentesis_s: 18446744073494572114 
811159863 153197982 98695795036  66267 156568337 parentesis_s: 18446744073556353634 
773601304 139339588 95935715935  66489 142405058 parentesis_s: 18446744073570212028 
920505435 197284448 46442061850  65562 201624705 parentesis_s: 18446744073512267168 
801030015 149395569 54649479392  66328 152682271 parentesis_s: 18446744073560156047 
776851857 140513015 69512029943  66470 143604301 parentesis_s: 18446744073569038601 
725790187 122648523 44552463249  66756 125346790 parentesis_s: 18446744073586903093 
749072642 130643561 34715841179  66628 133517719 parentesis_s: 18446744073578908055 
824480092 158270686 61980932393  66186 161752641 parentesis_s: 18446744073551280930 
724591467 122243723 33135461771  66763 124933084 parentesis_s: 18446744073587307893 
832947221 161538150 56657069486  66134 165091989 parentesis_s: 18446744073548013466 
1061925132 262559621 68481470654  64518 268335932 parentesis_s: 18446744073446991995 
933948466 203088796 68108294346  65469 207556749 parentesis_s: 18446744073506462820 
780494067 141833673 51419362588  66449 144954013 parentesis_s: 18446744073567717943 
1035079476 249452311 20983051590  64727 254940261 parentesis_s: 18446744073460099305 
875377527 178414819 55506828763  65864 182339944 parentesis_s: 18446744073531136797 
992645214 229418399 17716561807  65048 234465603 parentesis_s: 18446744073480133217 
